FA, FA-EJS
CHK, CHK-MA
SURP, SURP-EJS, SURP-MA
CSWCD, CSWCD-MA
CMC, CMC-YS
QUEZON, QUEZON-UA
ARKI, ARKI-EDSS, ARKI-PDT
MUSIC, MUSIC-YS
THEATER, THEATER-OA
OUR, OUR-PDT
VARGAS, VARGAS-RA
AREA2, AREA2-RS
ITDC, ITDC-QA
EEE, EEE-PVS
DCS, DCS-PVS
MELCHOR, MELCHOR-OA
CSLIB, CSLIB-PVS
NIGS, NIGS-PVS
PALMA, PALMA-RA, PALMA-QA
SC, SC-RS, SC-GA
UHS, UHS-LA
LIB, LIB-OA, LIB-RA
MATH, MATH-NSC
LAW, LAW-OA
EDUC, EDUC-RA
CHEM, CHEM-NSC
NIP, NIP-NSC
BALAY, BALAY-GS
UPIS, UPIS-QA
ECON, ECON-OA
BA, BA-OA
VINZONS, VINZONS-OA
CHK-MA, SURP-EJS, SURP-MA
SURP-EJS, UA-EJS
UA-EJS, FA-EJS, QUEZON-UA
SURP-MA, CSWCD-MA
CSWCD-MA, MA-YS
QUEZON-UA, YS-OA, RA-EDSS
MA-YS, CMC-YS, MA-RS
CMC-YS, MUSIC-YS
MUSIC-YS, YS-OA
YS-OA, THEATER-OA
RA-EDSS, EDSS-KS, VARGAS-RA
ARKI-EDSS, EDSS-KS, ARKI-PDT
EDSS-KS, QA-PDT, FA-EJS
THEATER-OA, OA-RS
VARGAS-RA, RA-RS
OUR-PDT, ARKI-PDT, QA-PDT
QA-PDT, ITDC-QA
ITDC-QA, QA-PVS
AREA2-RS, SC-RS
SC-RS, LA-RS
LA-RS, MA-RS, LA-GA
MA-RS, OA-RS, MA-EMA
OA-RS, RA-RS, MELCHOR-OA
RA-RS, QA-PVS, PALMA-RA
QA-PVS, EEE-PVS, PALMA-QA
EEE-PVS, PVS-NSC
PVS-NSC, CSLIB-PVS, NSC-AMPI
CSLIB-PVS, NIGS-PVS
NIGS-PVS, DCS-PVS
MELCHOR-OA, LIB-OA
PALMA-RA, LIB-RA
PALMA-QA, UPIS-QA
NSC-AMPI, AMPI-MATH, AMPI-NSC
AMPI-NSC, NSC-RES
NSC-RES, RES-NSC
SC-GA, LA-GA
LIB-OA, LAW-OA
LIB-RA, EDUC-RA
AMPI-MATH, MATH-NSC
MATH-NSC, MATH-AMPI
MATH-AMPI, NIP-NSC
UHS-LA, LA-GA, LA-GS
CHEM-NSC, NSC-RES, NIP-NSC
RES-NSC, UPIS-QA
LAW-OA, OA-EMA
EDUC-RA, RA-AMRS
BALAY-GS, LA-GS
LA-GS, MA-EMA
MA-EMA, OA-EMA
OA-EMA, ECON-OA
RA-AMRS, UPIS-QA, VINZONS-OA
ECON-OA, BA-OA
BA-OA, VINZONS-OA
